Brand,Model,CC,Type,Province,Distance,Condition,Price,Age
Yamaha,XSR155,155,Sport,Narathiwat,41514,Excellent,37600.0,4
Honda,Sonic 125,150,Underbone,Singburi,6701,Fair,29500.0,5
Suzuki,Raider 150,125,Sport,Chai Nat,8600,Excellent,27200.0,10
Lambretta,Lambretta V,150,Scooter,Trat,44890,Bad,57500.0,8
Yamaha,GT 125,155,Scooter,Udon Thani,38140,Broken,35600.0,3
Honda,Click 125,150,Scooter,Tak,36901,Good,36500.0,8
Honda,Click 160,155,Scooter,Trat,18754,Good,36600.0,5
Suzuki,J Crossover,150,Underbone,Nakhon Ratchasima,22835,Broken,20500.0,4
Vespa,GTS,155,Scooter,Tak,4601,Broken,60600.0,2
Suzuki,J Crossover,160,Underbone,Phang Nga,3242,Bad,22600.0,5
Yamaha,YZF-R15,150,Sport,Lamphun,31134,Broken,28500.0,1
Suzuki,Raider 150,160,Sport,Nan,23063,Bad,20600.0,9
Yamaha,NMax 155,110,Scooter,Phatthalung,6875,Bad,37100.0,13
Honda,Click 125,160,Scooter,Roi Et,48679,Fair,34600.0,0
Lambretta,Lambretta X,150,Scooter,Phayao,39069,Excellent,64500.0,0
Honda,CBR 300R,110,Sport,Bangkok,10634,Fair,27100.0,5
Lambretta,Lambretta X,300,Scooter,Rayong,5181,Excellent,66000.0,13
Yamaha,NMax 155,150,Scooter,Ang Thong,37693,Fair,39500.0,15
Yamaha,XSR155,150,Sport,Nan,32949,Bad,30500.0,8
Honda,Dream 110,160,Underbone,Ubon Ratchathani,4743,Broken,25600.0,7
Yamaha,XSR155,125,Sport,Tak,10699,Excellent,37200.0,5
Lambretta,Lambretta X,155,Scooter,Loei,6386,Excellent,64600.0,13
Yamaha,GT 125,150,Scooter,Narathiwat,26809,Broken,35500.0,8
Yamaha,GT 125,110,Scooter,Nan,31477,Fair,39100.0,5
Vespa,GTS,150,Scooter,Lampang,669,Bad,62500.0,9
Yamaha,Spark 110i,155,Underbone,Songkhla,10500,Fair,34600.0,4
Suzuki,GSX R150,125,Sport,Narathiwat,42593,Excellent,27200.0,15
Suzuki,J Crossover,110,Underbone,Ayutthaya,12098,Good,26100.0,1
Yamaha,XSR155,125,Sport,Sakon Nakhon,33683,Excellent,37200.0,3
Yamaha,NMax 155,125,Scooter,Ang Thong,23625,Fair,39200.0,11
Honda,PCX 160,125,Scooter,Narathiwat,16142,Bad,32200.0,1
Suzuki,Smash,300,Underbone,Pathum Thani,49687,Fair,26000.0,7
Honda,Click 160,150,Scooter,Chaiyaphum,45378,Fair,34500.0,10
Suzuki,Raider 150,160,Sport,Nakhon Ratchasima,39637,Excellent,27600.0,1
Yamaha,MT-15,300,Sport,Nakhon Phanom,47218,Excellent,39000.0,11
Honda,Wave 110i,150,Underbone,Suphan Buri,36843,Good,31500.0,9
,GT 125,150,Scooter,Prachinburi,17816,,,14
Honda,CBR 150R,155,Sport,Chachoengsao,6308,Broken,23600.0,3
Yamaha,MT-15,300,Sport,Chachoengsao,23622,Good,36000.0,5
Yamaha,MT-15,160,Sport,Satun,15306,Fair,32600.0,1
Yamaha,MT-15,150,Sport,Mahasarakham,18470,Good,34500.0,10
Honda,PCX 160,125,Scooter,Chai Nat,34223,Broken,30200.0,9
Yamaha,XSR155,125,Sport,Samut Sakhon,17600,Broken,28200.0,13
Lambretta,Lambretta X,160,Scooter,Phetchaburi,32748,Good,61600.0,12
Yamaha,NMax 155,160,Scooter,Lopburi,47371,Good,41600.0,12
Vespa,Primavera,125,Scooter,Kalasin,43456,Broken,60200.0,9
Lambretta,Lambretta X,160,Scooter,Nakhon Sawan,2974,Broken,55600.0,10
Honda,PCX 160,300,Scooter,Phayao,12668,Bad,34000.0,13
Yamaha,GT 125,160,Scooter,Tak,21530,Broken,35600.0,13
Suzuki,GSX R150,125,Sport,Chanthaburi,36995,Excellent,27200.0,12
Suzuki,J Crossover,155,Underbone,Lopburi,26488,Good,26600.0,15
Honda,Click 160,155,Scooter,Phayao,20477,Excellent,39600.0,8
Honda,Dream 110,155,Underbone,Kalasin,46961,Good,31600.0,14
Honda,Sonic 125,110,Underbone,Phitsanulok,32867,Excellent,34100.0,3
Honda,Sonic 125,150,Underbone,Surin,27743,Good,31500.0,2
Honda,CBR 150R,125,Sport,Mae Hong Son,20134,Excellent,32200.0,4
Yamaha,NMax 155,125,Scooter,Kalasin,36005,Bad,37200.0,9
Honda,Sonic 125,125,Underbone,Surin,17871,Good,31200.0,12
Honda,CBR 150R,160,Sport,Surin,49650,Broken,23600.0,4
Yamaha,XSR155,160,Sport,Chonburi,26142,Excellent,37600.0,8
Yamaha,YZF-R15,160,Sport,Pathum Thani,6334,Broken,28600.0,2
Vespa,Sprints,110,Scooter,Uthai Thani,27475,Bad,62100.0,15
Yamaha,YZF-R15,160,Sport,Nakhon Pathom,15565,Bad,30600.0,8
Honda,Wave 110i,155,Underbone,Songkhla,3881,Excellent,34600.0,10
Suzuki,GSX R150,110,Sport,Satun,23567,Excellent,27100.0,2
Yamaha,MT-15,150,Sport,Phetchaburi,32709,Good,34500.0,2
Vespa,Primavera,110,Scooter,Nakhon Si Thammarat,49603,Excellent,69100.0,4
Yamaha,XSR155,110,Sport,Phitsanulok,46696,Fair,32100.0,1
Honda,PCX 160,150,Scooter,Phetchaburi,42255,Broken,30500.0,3
Vespa,GTS,160,Scooter,Ratchaburi,42413,Fair,64600.0,8
Honda,Wave 125,155,Underbone,Samut Sakhon,48555,Broken,25600.0,4
Yamaha,YZF-R15,155,Sport,Chonburi,42248,Good,34600.0,13
,Lambretta V,300,Scooter,Phitsanulok,43943,,,10
Yamaha,Fin 115i,160,Underbone,Kamphaeng Phet,20616,Bad,32600.0,10
Suzuki,GSX R150,110,Sport,Chachoengsao,24640,Fair,22100.0,5
Lambretta,Lambretta X,125,Scooter,Ratchaburi,23119,Excellent,64200.0,1
Yamaha,YZF-R15,160,Sport,Loei,27623,Excellent,37600.0,11
Suzuki,Raider 150,160,Sport,Prachuap Khiri Khan,47794,Excellent,27600.0,6
Honda,Wave 125,160,Underbone,Rayong,30222,Fair,29600.0,3
Suzuki,GSX R150,150,Sport,Trat,17199,Fair,22500.0,4
Honda,CBR 150R,150,Sport,Songkhla,18969,Bad,25500.0,8
Honda,Sonic 125,150,Underbone,Nakhon Pathom,9607,Bad,27500.0,8
Honda,PCX 160,150,Scooter,Nakhon Ratchasima,5995,Bad,32500.0,9
Yamaha,NMax 155,160,Scooter,Phichit,15126,Fair,39600.0,15
Yamaha,NMax 155,125,Scooter,Chachoengsao,14455,Excellent,44200.0,7
Yamaha,NMax 155,110,Scooter,Sukhothai,13837,Bad,37100.0,3
Honda,CBR 300R,125,Sport,Udon Thani,24686,Excellent,32200.0,14
Honda,Wave 125,300,Underbone,Kalasin,2608,Fair,31000.0,6
Yamaha,Spark 110i,150,Underbone,Lopburi,43245,Bad,32500.0,15
Honda,Click 125,160,Scooter,Samut Sakhon,21801,Fair,34600.0,1
Suzuki,GSX R150,155,Sport,Buri Ram,36936,Broken,18600.0,2
Suzuki,Raider 150,110,Sport,Chiang Mai,11903,Excellent,27100.0,13
Suzuki,Raider 150,300,Sport,Phayao,20766,Excellent,29000.0,0
Yamaha,GT 125,125,Scooter,Nakhon Phanom,11375,Excellent,44200.0,10
Honda,Wave 110i,125,Underbone,Nakhon Nayok,1175,Excellent,34200.0,4
Honda,Dream 110,300,Underbone,Lamphun,9501,Bad,29000.0,8
Honda,Wave 110i,300,Underbone,Pattaya,41954,Fair,31000.0,4
Yamaha,YZF-R15,110,Sport,Samut Songkhram,44213,Bad,30100.0,4
Suzuki,Smash,160,Underbone,Tak,8940,Bad,22600.0,15
Honda,Click 160,150,Scooter,Nakhon Nayok,22263,Excellent,39500.0,7
Yamaha,XSR155,150,Sport,Kanchanaburi,19862,Excellent,37500.0,2
Suzuki,J Crossover,155,Underbone,Mae Hong Son,15010,Broken,20600.0,1
Honda,Wave 110i,125,Underbone,Phetchaburi,37052,Bad,27200.0,7
Honda,CBR 300R,150,Sport,Saraburi,1327,Bad,25500.0,1
Yamaha,MT-15,155,Sport,Surat Thani,39115,Excellent,37600.0,6
Lambretta,Lambretta V,125,Scooter,Prachinburi,9848,Fair,59200.0,4
Lambretta,Lambretta X,110,Scooter,Mae Hong Son,44548,Excellent,64100.0,13
Suzuki,Smash,110,Underbone,Phuket,29702,Bad,22100.0,4
Suzuki,Smash,125,Underbone,Nakhon Sawan,21600,Fair,24200.0,8
Vespa,Sprints,125,Scooter,Prachuap Khiri Khan,13769,Excellent,69200.0,6
Suzuki,GSX R150,160,Sport,Sakon Nakhon,40447,Good,24600.0,8
Vespa,GTS,110,Scooter,Phichit,9248,Good,66100.0,6
Yamaha,GT 125,150,Scooter,Mukdahan,3312,Bad,37500.0,12
Yamaha,NMax 155,125,Scooter,Prachinburi,49678,Good,41200.0,3
Honda,CBR 300R,155,Sport,Nonthaburi,35078,Fair,27600.0,7
Honda,PCX 160,110,Scooter,Nakhon Si Thammarat,22573,Bad,32100.0,15
Honda,CBR 150R,160,Sport,Lopburi,38066,Bad,25600.0,7
Yamaha,YZF-R15,125,Sport,Amnat Charoen,25655,Bad,30200.0,3
Yamaha,Fin 115i,125,Underbone,Ayutthaya,14595,Fair,34200.0,11
Yamaha,Spark 110i,125,Underbone,Sukhothai,20121,Excellent,39200.0,4
Honda,Sonic 125,125,Underbone,Trang,23003,Bad,27200.0,13
Honda,Click 125,300,Scooter,Kalasin,2376,Broken,32000.0,15
Lambretta,Lambretta X,155,Scooter,Singburi,36050,Bad,57600.0,5
Lambretta,Lambretta X,160,Scooter,Nakhon Ratchasima,28891,Fair,59600.0,5
Yamaha,YZF-R15,125,Sport,Nakhon Nayok,3240,Broken,28200.0,2
Honda,PCX 160,110,Scooter,Rayong,46859,Excellent,39100.0,3
Honda,Wave 110i,110,Underbone,Phatthalung,49331,Broken,25100.0,5
Honda,CBR 300R,160,Sport,Ranong,49708,Fair,27600.0,10
Yamaha,Spark 110i,300,Underbone,Loei,2080,Broken,32000.0,0
Honda,Dream 110,125,Underbone,Surat Thani,30500,Good,31200.0,10
Honda,Dream 110,155,Underbone,Prachinburi,25813,Fair,29600.0,5
Vespa,Sprints,300,Scooter,Songkhla,44741,Bad,64000.0,0
Honda,Sonic 125,300,Underbone,Chonburi,14240,Broken,27000.0,6
Vespa,Sprints,300,Scooter,Kalasin,23017,Good,68000.0,8
Lambretta,Lambretta V,300,Scooter,Khon Kaen,21057,Excellent,66000.0,7
Honda,PCX 160,110,Scooter,Phatthalung,5345,Good,36100.0,12
Lambretta,Lambretta X,110,Scooter,Nan,7192,Good,61100.0,14
Honda,Click 125,300,Scooter,Chonburi,19428,Broken,32000.0,6
Lambretta,Lambretta V,155,Scooter,Chaiyaphum,4221,Broken,55600.0,6
Suzuki,J Crossover,155,Underbone,Prachinburi,17972,Good,26600.0,8
Honda,CBR 300R,125,Sport,Chanthaburi,43994,Good,29200.0,7
Suzuki,GSX R150,160,Sport,Trat,34190,Broken,18600.0,6
Yamaha,GT 125,155,Scooter,Sisaket,45146,Bad,37600.0,3
,Sonic 125,150,Underbone,Khon Kaen,9270,,,11
Yamaha,MT-15,155,Sport,Nakhon Sawan,29901,Excellent,37600.0,10
Yamaha,YZF-R15,155,Sport,Phatthalung,32342,Good,34600.0,9
Lambretta,Lambretta X,160,Scooter,Loei,11221,Excellent,64600.0,1
Yamaha,MT-15,160,Sport,Uthai Thani,21583,Broken,28600.0,14
Honda,CBR 150R,155,Sport,Surat Thani,3219,Excellent,32600.0,0
Honda,Wave 125,160,Underbone,Trang,32770,Bad,27600.0,15
Suzuki,Smash,155,Underbone,Phichit,9630,Fair,24600.0,6
Yamaha,YZF-R15,300,Sport,Phitsanulok,164,Fair,34000.0,7
Honda,Dream 110,160,Underbone,Chaiyaphum,6810,Bad,27600.0,2
Lambretta,Lambretta V,155,Scooter,Yasothon,24796,Good,61600.0,0
Suzuki,GSX R150,160,Sport,Amnat Charoen,16175,Good,24600.0,13
Yamaha,MT-15,160,Sport,Mukdahan,13900,Bad,30600.0,2
Yamaha,Fin 115i,155,Underbone,Kalasin,38725,Bad,32600.0,11
Honda,CBR 150R,150,Sport,Surat Thani,415,Fair,27500.0,6
Yamaha,NMax 155,300,Scooter,Tak,8452,Broken,37000.0,12
Honda,Wave 110i,125,Underbone,Rayong,20721,Excellent,34200.0,14
Vespa,Sprints,150,Scooter,Nakhon Sawan,45251,Fair,64500.0,3
Honda,Dream 110,110,Underbone,Khon Kaen,40510,Fair,29100.0,10
Yamaha,Spark 110i,125,Underbone,Singburi,30042,Broken,30200.0,13
Suzuki,J Crossover,160,Underbone,Samut Songkhram,22527,Good,26600.0,7
Suzuki,GSX R150,150,Sport,Khon Kaen,48347,Broken,18500.0,4
Suzuki,J Crossover,125,Underbone,Samut Prakan,28742,Fair,24200.0,11
Vespa,GTS,160,Scooter,Phayao,7142,Good,66600.0,4
Yamaha,NMax 155,150,Scooter,Trang,39221,Excellent,44500.0,6
Yamaha,Spark 110i,155,Underbone,Nong Bua Lamphu,7959,Excellent,39600.0,15
Vespa,GTS,110,Scooter,Phrae,6865,Broken,60100.0,6
Honda,PCX 160,125,Scooter,Nonthaburi,37176,Good,36200.0,8
Honda,Click 160,300,Scooter,Ubon Ratchathani,24665,Excellent,41000.0,14
Suzuki,Raider 150,2000,Sport,Pattaya,46035,Fair,999999.0,6
Yamaha,YZF-R15,150,Sport,Chaiyaphum,14418,Excellent,37500.0,15
Yamaha,NMax 155,2000,Scooter,Phrae,45024,Bad,999999.0,13
Yamaha,Fin 115i,125,Underbone,Roi Et,34050,Good,36200.0,8
Yamaha,MT-15,160,Sport,Nakhon Ratchasima,29787,Fair,32600.0,8
Lambretta,Lambretta X,155,Scooter,Chiang Mai,26786,Excellent,64600.0,13
Honda,Wave 125,160,Underbone,Chaiyaphum,17173,Excellent,34600.0,6
Yamaha,Spark 110i,160,Underbone,Lopburi,39949,Bad,32600.0,8
Suzuki,Smash,150,Underbone,Phitsanulok,19956,Bad,22500.0,4
Suzuki,Smash,125,Underbone,Surin,21260,Fair,24200.0,4
,Lambretta X,160,Scooter,Mahasarakham,15064,,,12
Honda,Wave 110i,300,Underbone,Ratchaburi,23620,Good,33000.0,2
Yamaha,MT-15,150,Sport,Phatthalung,29791,Fair,32500.0,5
Suzuki,Raider 150,160,Sport,Narathiwat,38974,Excellent,27600.0,3
Suzuki,Raider 150,150,Sport,Mukdahan,33750,Broken,18500.0,13
Yamaha,MT-15,150,Sport,Ubon Ratchathani,30484,Excellent,37500.0,7
Lambretta,Lambretta X,110,Scooter,Trang,47021,Bad,57100.0,13
Yamaha,MT-15,150,Sport,Phang Nga,45128,Excellent,37500.0,11
Lambretta,Lambretta X,160,Scooter,Bangkok,47796,Bad,57600.0,15
Yamaha,Spark 110i,155,Underbone,Nong Khai,6188,Excellent,39600.0,11
Vespa,Primavera,150,Scooter,Pattaya,19164,Excellent,69500.0,3
Suzuki,Smash,125,Underbone,Chai Nat,3289,Good,26200.0,2
Suzuki,J Crossover,150,Underbone,Ratchaburi,10742,Fair,24500.0,9
Yamaha,NMax 155,160,Scooter,Lopburi,11935,Broken,35600.0,7
Suzuki,Smash,110,Underbone,Phang Nga,8070,Excellent,29100.0,5
Yamaha,GT 125,300,Scooter,Nakhon Phanom,9932,Broken,37000.0,8
Honda,Dream 110,125,Underbone,Kamphaeng Phet,45070,Good,31200.0,11
Yamaha,Spark 110i,125,Underbone,Chiang Mai,36562,Good,36200.0,10
Yamaha,Fin 115i,300,Underbone,Yala,543,Good,38000.0,14
Suzuki,Smash,155,Underbone,Nakhon Sawan,20874,Excellent,29600.0,0
Yamaha,MT-15,160,Sport,Yasothon,14510,Fair,32600.0,5
Honda,Click 160,110,Scooter,Yala,43953,Fair,34100.0,8
Vespa,GTS,155,Scooter,Lamphun,39473,Bad,62600.0,14
Suzuki,GSX R150,150,Sport,Lopburi,34053,Broken,18500.0,0
Yamaha,GT 125,125,Scooter,Mahasarakham,1673,Fair,39200.0,3
Suzuki,J Crossover,300,Underbone,Yala,35724,Excellent,31000.0,8
Honda,Click 125,150,Scooter,Amnat Charoen,32153,Bad,32500.0,11
Suzuki,J Crossover,160,Underbone,Lamphun,36984,Good,26600.0,9
Suzuki,Smash,110,Underbone,Chiang Mai,31544,Excellent,29100.0,4
Honda,Sonic 125,125,Underbone,Phrae,17836,Excellent,34200.0,8
Yamaha,NMax 155,150,Scooter,Roi Et,41920,Bad,37500.0,2
Vespa,Sprints,155,Scooter,Kalasin,2128,Excellent,69600.0,13
Honda,CBR 300R,2500,Sport,Chachoengsao,37318,Bad,999999.0,4
Yamaha,Fin 115i,125,Underbone,Ang Thong,26881,Excellent,39200.0,5
Suzuki,GSX R150,110,Sport,Kanchanaburi,49320,Broken,18100.0,8
Honda,CBR 150R,155,Sport,Mae Hong Son,4152,Fair,27600.0,14
Lambretta,Lambretta X,125,Scooter,Kanchanaburi,29507,Bad,57200.0,0
Honda,Click 125,150,Scooter,Rayong,1322,Fair,34500.0,1
Honda,Click 125,300,Scooter,Phitsanulok,34447,Good,38000.0,3
Honda,Sonic 125,150,Underbone,Mukdahan,24432,Broken,25500.0,2
Honda,Click 125,160,Scooter,Phatthalung,29203,Fair,34600.0,6
Lambretta,Lambretta V,300,Scooter,Roi Et,35325,Excellent,66000.0,7
Yamaha,XSR155,110,Sport,Surat Thani,2416,Bad,30100.0,11
Yamaha,GT 125,160,Scooter,Surin,9261,Fair,39600.0,3
Suzuki,GSX R150,160,Sport,Nong Bua Lamphu,13596,Good,24600.0,14
Honda,Wave 125,160,Underbone,Satun,35694,Excellent,34600.0,1
Honda,CBR 300R,160,Sport,Chiang Mai,43618,Excellent,32600.0,0
Suzuki,Smash,150,Underbone,Suphan Buri,49518,Excellent,29500.0,8
Suzuki,Raider 150,150,Sport,Surin,9637,Bad,20500.0,15
Yamaha,NMax 155,150,Scooter,Tak,14885,Fair,39500.0,12
Yamaha,GT 125,160,Scooter,Phatthalung,34667,Broken,35600.0,12
Yamaha,GT 125,300,Scooter,Pathum Thani,38568,Fair,41000.0,4
Vespa,GTS,110,Scooter,Rayong,27713,Bad,62100.0,10
Vespa,GTS,150,Scooter,Ang Thong,22715,Fair,64500.0,0
Yamaha,XSR155,160,Sport,Phrae,44178,Broken,28600.0,6
Yamaha,Spark 110i,125,Underbone,Pattani,41836,Broken,30200.0,8
Lambretta,Lambretta X,155,Scooter,Nong Khai,10935,Broken,55600.0,10
Honda,CBR 300R,150,Sport,Phitsanulok,39356,Fair,27500.0,9
Suzuki,GSX R150,155,Sport,Surin,48110,Good,24600.0,12
Yamaha,NMax 155,160,Scooter,Sakon Nakhon,2590,Excellent,44600.0,2
Yamaha,Spark 110i,300,Underbone,Chiang Mai,40566,Fair,36000.0,2
Honda,PCX 160,160,Scooter,Chanthaburi,45557,Broken,30600.0,3
Suzuki,Smash,155,Underbone,Ang Thong,32353,Bad,22600.0,8
Yamaha,XSR155,160,Sport,Uthai Thani,45972,Broken,28600.0,1
Honda,Sonic 125,300,Underbone,Chonburi,9574,Excellent,36000.0,4
,Wave 110i,155,Underbone,Surin,3088,,,5
Suzuki,J Crossover,125,Underbone,Khon Kaen,11286,Good,26200.0,0
Yamaha,Spark 110i,300,Underbone,Ayutthaya,16413,Excellent,41000.0,13
Yamaha,GT 125,160,Scooter,Yasothon,25015,Bad,37600.0,3
Yamaha,GT 125,125,Scooter,Singburi,21301,Fair,39200.0,6
Lambretta,Lambretta X,150,Scooter,Phitsanulok,31600,Excellent,64500.0,1
Suzuki,GSX R150,160,Sport,Uthai Thani,31621,Excellent,27600.0,6
Yamaha,Fin 115i,150,Underbone,Udon Thani,7307,Good,36500.0,7
Honda,Sonic 125,150,Underbone,Phayao,7518,Bad,27500.0,14
Vespa,GTS,110,Scooter,Narathiwat,28298,Bad,62100.0,12
Vespa,GTS,155,Scooter,Nakhon Ratchasima,19071,Bad,62600.0,8
Honda,Wave 110i,150,Underbone,Pattaya,18994,Excellent,34500.0,11
Lambretta,Lambretta X,155,Scooter,Nakhon Pathom,13617,Broken,55600.0,8
Honda,Click 125,125,Scooter,Samut Sakhon,28477,Excellent,39200.0,4
Yamaha,NMax 155,125,Scooter,Kalasin,6475,Fair,39200.0,0
Lambretta,Lambretta V,150,Scooter,Yala,9502,Fair,59500.0,8
Honda,Sonic 125,160,Underbone,Mae Hong Son,12434,Broken,25600.0,15
Lambretta,Lambretta V,150,Scooter,Phang Nga,36362,Broken,55500.0,9
Honda,Wave 110i,300,Underbone,Nakhon Ratchasima,28961,Bad,29000.0,9
Honda,Wave 110i,2500,Underbone,Nakhon Si Thammarat,37114,Good,1.0,3
Suzuki,Raider 150,155,Sport,Nakhon Pathom,16593,Broken,18600.0,0
Honda,CBR 150R,160,Sport,Phrae,16058,Broken,23600.0,8
Suzuki,Raider 150,155,Sport,Sukhothai,31697,Good,24600.0,7
Yamaha,NMax 155,160,Scooter,Phetchaburi,30755,Bad,37600.0,2
Yamaha,MT-15,125,Sport,Khon Kaen,20915,Excellent,37200.0,9
Yamaha,Fin 115i,110,Underbone,Narathiwat,35396,Fair,34100.0,12
Yamaha,Fin 115i,300,Underbone,Khon Kaen,47063,Bad,34000.0,6
Honda,Wave 110i,125,Underbone,Nakhon Phanom,46322,Good,31200.0,11
Suzuki,GSX R150,110,Sport,Nong Khai,11501,Fair,22100.0,10
Suzuki,Smash,150,Underbone,Loei,25033,Bad,22500.0,9
Yamaha,XSR155,125,Sport,Nakhon Nayok,28496,Bad,30200.0,11
Vespa,Primavera,155,Scooter,Uthai Thani,45714,Broken,60600.0,10
Yamaha,Spark 110i,110,Underbone,Kalasin,8807,Broken,30100.0,12
Yamaha,XSR155,160,Sport,Mae Hong Son,31494,Good,34600.0,7
Honda,PCX 160,160,Scooter,Ubon Ratchathani,23689,Good,36600.0,0
Honda,Click 160,150,Scooter,Phetchaburi,43988,Fair,34500.0,1
Lambretta,Lambretta V,155,Scooter,Nakhon Pathom,28472,Fair,59600.0,13
Honda,Click 160,150,Scooter,Nong Bua Lamphu,2234,Fair,34500.0,14
Suzuki,Raider 150,300,Sport,Samut Prakan,18008,Broken,20000.0,4
Honda,CBR 300R,125,Sport,Nakhon Nayok,45956,Excellent,32200.0,4
Yamaha,NMax 155,155,Scooter,Kamphaeng Phet,23430,Fair,39600.0,7
Honda,CBR 300R,155,Sport,Suphan Buri,21511,Fair,27600.0,5
Lambretta,Lambretta V,160,Scooter,Phrae,13933,Broken,55600.0,9
Lambretta,Lambretta X,155,Scooter,Prachinburi,11765,Good,61600.0,6
Honda,Click 160,300,Scooter,Sakon Nakhon,18066,Good,38000.0,2
Yamaha,Fin 115i,110,Underbone,Phrae,9354,Bad,32100.0,15
Yamaha,YZF-R15,110,Sport,Roi Et,4589,Excellent,37100.0,13
Suzuki,Smash,150,Underbone,Phetchabun,16440,Excellent,29500.0,15
Suzuki,Raider 150,300,Sport,Phuket,8278,Broken,20000.0,11
Suzuki,J Crossover,160,Underbone,Nakhon Si Thammarat,2716,Good,26600.0,13
Vespa,Sprints,110,Scooter,Roi Et,1410,Excellent,69100.0,13
Yamaha,Spark 110i,160,Underbone,Ubon Ratchathani,15535,Fair,34600.0,0
Yamaha,NMax 155,125,Scooter,Lampang,26128,Excellent,44200.0,6
Lambretta,Lambretta V,160,Scooter,Chai Nat,39611,Excellent,64600.0,10
Honda,Wave 125,160,Underbone,Prachinburi,44723,Excellent,34600.0,4
Yamaha,GT 125,110,Scooter,Pattani,19110,Excellent,44100.0,14
Honda,PCX 160,150,Scooter,Sakon Nakhon,13354,Broken,30500.0,2
Suzuki,GSX R150,160,Sport,Phayao,3638,Broken,18600.0,14
Lambretta,Lambretta X,110,Scooter,Surin,7917,Good,61100.0,0
Honda,PCX 160,125,Scooter,Tak,26871,Excellent,39200.0,9
Yamaha,GT 125,300,Scooter,Buri Ram,27541,Bad,39000.0,6
Honda,Wave 125,160,Underbone,Roi Et,25502,Broken,25600.0,15
Yamaha,Fin 115i,155,Underbone,Pattaya,20032,Good,36600.0,15
Yamaha,XSR155,125,Sport,Nakhon Sawan,1177,Excellent,37200.0,14
Honda,Sonic 125,150,Underbone,Yala,45362,Excellent,34500.0,12
Honda,Sonic 125,110,Underbone,Pattani,35727,Good,31100.0,4
Honda,Dream 110,300,Underbone,Trat,22108,Good,33000.0,14
Vespa,GTS,155,Scooter,Ayutthaya,35771,Excellent,69600.0,9
Suzuki,Smash,110,Underbone,Phichit,25489,Excellent,29100.0,5
Honda,CBR 300R,155,Sport,Chaiyaphum,28933,Broken,23600.0,5
Suzuki,Smash,125,Underbone,Surin,19910,Fair,24200.0,8
Suzuki,Smash,155,Underbone,Amnat Charoen,45501,Fair,24600.0,8
,XSR155,110,Sport,Samut Prakan,25123,,,7
Suzuki,GSX R150,155,Sport,Pattaya,33693,Bad,20600.0,5
Honda,Click 160,150,Scooter,Kalasin,14564,Good,36500.0,6
Honda,CBR 150R,155,Sport,Chachoengsao,33832,Fair,27600.0,0
Honda,Dream 110,110,Underbone,Pathum Thani,46603,Excellent,34100.0,15
Yamaha,MT-15,150,Sport,Prachinburi,32725,Good,34500.0,4
Honda,Dream 110,155,Underbone,Narathiwat,22827,Broken,25600.0,15
Honda,Dream 110,110,Underbone,Samut Prakan,19342,Bad,27100.0,6
Honda,Wave 110i,300,Underbone,Sisaket,38118,Excellent,36000.0,3
Honda,Click 125,110,Scooter,Pathum Thani,32294,Broken,30100.0,13
Honda,CBR 300R,110,Sport,Nakhon Ratchasima,17019,Broken,23100.0,5
Honda,Sonic 125,160,Underbone,Surat Thani,6812,Bad,27600.0,13
Yamaha,MT-15,300,Sport,Samut Prakan,10032,Excellent,39000.0,5
Honda,Click 160,160,Scooter,Rayong,13887,Bad,32600.0,6
Suzuki,J Crossover,155,Underbone,Sukhothai,35070,Good,26600.0,0
Honda,Click 125,155,Scooter,Ayutthaya,48522,Broken,30600.0,11
Honda,Click 160,150,Scooter,Mahasarakham,340,Good,36500.0,4
Lambretta,Lambretta X,155,Scooter,Sa Kaeo,44920,Good,61600.0,6
Honda,Click 125,150,Scooter,Buri Ram,31854,Broken,30500.0,4
Yamaha,MT-15,125,Sport,Mukdahan,45487,Bad,30200.0,6
Yamaha,YZF-R15,110,Sport,Sukhothai,48772,Fair,32100.0,2
Honda,CBR 300R,160,Sport,Sisaket,49096,Fair,27600.0,1
Honda,Wave 125,125,Underbone,Ubon Ratchathani,10052,Good,31200.0,8
Yamaha,YZF-R15,160,Sport,Yasothon,10058,Good,34600.0,11
Honda,Wave 110i,160,Underbone,Nong Khai,13172,Broken,25600.0,10
Honda,Click 125,110,Scooter,Amnat Charoen,23541,Excellent,39100.0,10
Vespa,Sprints,125,Scooter,Saraburi,45528,Good,66200.0,8
Yamaha,MT-15,125,Sport,Samut Sakhon,28723,Bad,30200.0,3
Honda,Dream 110,155,Underbone,Chiang Rai,2811,Good,31600.0,13
Suzuki,GSX R150,155,Sport,Yasothon,29843,Excellent,27600.0,13
Suzuki,GSX R150,110,Sport,Uthai Thani,35798,Bad,20100.0,13
Honda,Click 125,150,Scooter,Phuket,2134,Fair,34500.0,4
Honda,Sonic 125,155,Underbone,Pathum Thani,46203,Excellent,34600.0,3
Honda,CBR 150R,150,Sport,Samut Songkhram,37583,Fair,27500.0,3
Yamaha,MT-15,150,Sport,Songkhla,44336,Good,34500.0,10
Suzuki,Raider 150,150,Sport,Nonthaburi,47875,Good,24500.0,2
Vespa,GTS,125,Scooter,Saraburi,49339,Good,66200.0,11
Suzuki,J Crossover,160,Underbone,Pattani,10266,Broken,20600.0,14
Yamaha,Spark 110i,155,Underbone,Lampang,31376,Good,36600.0,1
